index,jobid,experiment,cacheddata,rep,map_avg,map_min,map_max,runtime,queuetime
0,job_1588104563002_0031,wordcount,0,1,284.939,262.287,307.112,327.19,4.843
1,job_1588104563002_0032,wordcount,0,2,285.418,272.14,300.755,328.997,4.694
2,job_1588104563002_0033,wordcount,0,3,279.545,250.256,301.456,340.502,5.499
3,job_1588104563002_0034,wordcount,0,4,282.773,258.802,296.803,328.06,6.149
4,job_1588104563002_0035,wordcount,4,0,275.754,252.987,295.443,333.101,4.85
5,job_1588104563002_0036,wordcount,4,1,280.634,261.606,298.708,330.349,5.643
6,job_1588104563002_0037,wordcount,4,2,280.096,258.191,295.884,334.903,4.703
7,job_1588104563002_0038,wordcount,4,3,283.632,272.574,302.091,334.666,5.312
8,job_1588104563002_0039,wordcount,4,4,281.263,262.465,300.698,337.677,5.715
9,job_1588104563002_0040,wordcount,8,0,277.358,251.638,295.521,333.844,5.682
10,job_1588104563002_0041,wordcount,8,1,274.078,253.08,294.115,327.17,5.049
11,job_1588104563002_0042,wordcount,8,2,273.709,249.64,289.53,326.818,5.835
12,job_1588104563002_0043,wordcount,8,3,275.714,252.999,297.071,332.429,5.871
13,job_1588104563002_0044,wordcount,8,4,280.964,263.105,293.783,320.186,5.57
14,job_1588104563002_0045,wordcount,16,0,271.222,252.086,286.613,323.315,5.351
15,job_1588104563002_0046,wordcount,16,1,272.874,256.14,294.04,332.246,5.997
16,job_1588104563002_0047,wordcount,16,2,270.783,245.898,287.977,324.904,5.038
17,job_1588104563002_0048,wordcount,16,3,272.301,255.226,284.613,322.714,5.817
18,job_1588104563002_0049,wordcount,16,4,272.432,252.446,295.217,332.138,6.275
19,job_1588104563002_0050,wordcount,24,0,266.752,250.102,295.132,329.379,5.037
20,job_1588104563002_0051,wordcount,24,1,269.194,251.99,289.525,321.822,6.014
21,job_1588104563002_0052,wordcount,24,2,266.849,249.422,282.4,318.92,5.804
22,job_1588104563002_0053,wordcount,24,3,266.96,241.459,291.756,329.501,5.55
23,job_1588104563002_0054,wordcount,24,4,266.733,247.575,290.277,329.089,5.855
24,job_1588104563002_0055,wordcount,32,0,263.864,244.628,283.049,314.667,5.274
25,job_1588104563002_0056,wordcount,32,1,265.329,244.942,284.779,321.102,5.691
26,job_1588104563002_0057,wordcount,32,2,266.309,247.449,286.416,324.914,5.808
27,job_1588104563002_0058,wordcount,32,3,264.662,241.849,282.137,319.472,4.871
28,job_1588104563002_0059,wordcount,32,4,269.637,255.688,296.766,307.517,5.639
29,job_1588104563002_0060,wordcount,48,0,256.47,231.767,274.648,308.6,5.704
30,job_1588104563002_0061,wordcount,48,1,258.21,241.959,279.728,300.488,5.793
31,job_1588104563002_0062,wordcount,48,2,258.18,236.607,275.391,312.296,5.501
32,job_1588104563002_0063,wordcount,48,3,254.906,230.021,273.697,309.616,5.166
33,job_1588104563002_0064,wordcount,48,4,255.874,219.9,278.947,314.813,4.75
34,job_1588104563002_0065,wordcount,64,0,246.466,219.659,267.951,303.754,5.32
35,job_1588104563002_0066,wordcount,64,1,252.945,238.273,274.285,294.84,5.687
36,job_1588104563002_0067,wordcount,64,2,251.987,233.769,273.463,305.958,5.43
37,job_1588104563002_0068,wordcount,64,3,251.713,229.291,268.079,303.038,5.368
38,job_1588104563002_0069,wordcount,64,4,252.941,232.107,272.546,291.97,5.4
39,job_1588104563002_0070,wordcount,80,0,240.49,217.395,263.834,288.805,5.263
40,job_1588104563002_0071,wordcount,80,1,238.769,219.273,262.658,290.933,5.606
41,job_1588104563002_0072,wordcount,80,2,238.374,209.782,257.183,292.481,4.823
42,job_1588104563002_0073,wordcount,80,3,239.553,215.162,259.839,296.804,5.696
43,job_1588104563002_0074,wordcount,80,4,244.013,223.585,258.809,293.923,5.52
44,job_1588104563002_0075,wordcount,96,0,236.787,217.465,253.657,287.91,5.779
45,job_1588104563002_0076,wordcount,96,1,232.478,208.522,247.584,278.153,5.439
46,job_1588104563002_0077,wordcount,96,2,234.738,216.144,255.751,284.937,4.937
47,job_1588104563002_0078,wordcount,96,3,235.614,214.352,252.45,285.145,5.573
