Query,order,Kariz,MRD,CP,NoCache,infinite
Q1,0,284,531,519,515,206
Q1,0,287,521,517,521,203
Q1,0,286,520,526,519,201
Q2,2,407,442,432,536,457
Q2,2,424,446,422,467,421
Q2,2,427,422,432,446,426
Q3,3,806,1015,1023,1247,696
Q3,3,802,1050,1023,1114,700
Q3,3,816,1010,1016,1095,736
Q3,3,786,1051,1066,1114,675
Q4,1,728,955,949,1113,873
Q4,1,828,943,952,1163,613
Q4,1,937,924,1012,1288,842
Q5,4,1519,1726,1444,1519,1319
Q5,4,1584,1610,1516,1622,1299
Q5,4,1458,1522,1495,1556,1530
Q7,9,220,844,960,953,540
Q7,9,599,843,913,913,544
Q7,9,578,793,984,963,538
Q10,5,327,423,328,459
Q11,6,120,131,131,139
Q14,7,723,723,756,858
Q15,8,689,766,766,775
Q19,10,917,917,969,1041
Q20,11,649,908,856,1116
Q21,12,595,1071,1025,1098
Q22,13,292,288,292,358
Q22,13,278,317,387,384
Q22,13,292,287,287,398
