jobid,experiment,cacheddata,rep
job_1588341712669_0250,dfsio,0,1
job_1588341712669_0252,dfsio,0,1
job_1588341712669_0254,dfsio,4,1
job_1588341712669_0256,dfsio,8,1
job_1588341712669_0258,dfsio,16,1
job_1588341712669_0260,dfsio,24,1
job_1588341712669_0262,dfsio,32,1
job_1588341712669_0264,dfsio,48,1
job_1588341712669_0266,dfsio,64,1
job_1588341712669_0268,dfsio,80,1
job_1588341712669_0270,dfsio,96,1
job_1588341712669_0272,dfsio,112,1
job_1588341712669_0274,dfsio,128,1
job_1588341712669_0276,dfsio,144,1
job_1588341712669_0278,dfsio,160,1
job_1588341712669_0280,dfsio,176,1
job_1588341712669_0282,dfsio,192,1
job_1588341712669_0284,dfsio,208,1
job_1588341712669_0286,dfsio,224,1
job_1588341712669_0288,dfsio,240,1
job_1588341712669_0290,dfsio,256,1
job_1588341712669_0292,dfsio,0,2
job_1588341712669_0294,dfsio,4,2
job_1588341712669_0296,dfsio,8,2
job_1588341712669_0298,dfsio,16,2
job_1588341712669_0300,dfsio,24,2
job_1588341712669_0302,dfsio,32,2
job_1588341712669_0304,dfsio,48,2
job_1588341712669_0306,dfsio,64,2
job_1588341712669_0308,dfsio,80,2
job_1588341712669_0310,dfsio,96,2
job_1588341712669_0312,dfsio,112,2
job_1588341712669_0314,dfsio,128,2
job_1588341712669_0316,dfsio,144,2
job_1588341712669_0318,dfsio,160,2
job_1588341712669_0320,dfsio,176,2
job_1588341712669_0322,dfsio,192,2
job_1588341712669_0324,dfsio,208,2
job_1588341712669_0326,dfsio,224,2
job_1588341712669_0328,dfsio,240,2
job_1588341712669_0330,dfsio,256,2
job_1588341712669_0332,dfsio,0,3
job_1588341712669_0334,dfsio,4,3
job_1588341712669_0336,dfsio,8,3
job_1588341712669_0338,dfsio,16,3
job_1588341712669_0340,dfsio,24,3
job_1588341712669_0342,dfsio,32,3
job_1588341712669_0344,dfsio,48,3
job_1588341712669_0346,dfsio,64,3
job_1588341712669_0348,dfsio,80,3
job_1588341712669_0350,dfsio,96,3
job_1588341712669_0352,dfsio,112,3
job_1588341712669_0354,dfsio,128,3
job_1588341712669_0356,dfsio,144,3
job_1588341712669_0358,dfsio,160,3
job_1588341712669_0360,dfsio,176,3
job_1588341712669_0362,dfsio,192,3
job_1588341712669_0364,dfsio,208,3
job_1588341712669_0366,dfsio,224,3
job_1588341712669_0368,dfsio,240,3
job_1588341712669_0370,dfsio,256,3
