jobid,experiment,cacheddata,rep
job_1588878927238_0089,terasort,0,1
job_1588878927238_0090,terasort,4,1
job_1588878927238_0091,terasort,8,1
job_1588878927238_0092,terasort,16,1
job_1588878927238_0093,terasort,24,1
job_1588878927238_0094,terasort,32,1
job_1588878927238_0095,terasort,48,1
job_1588878927238_0096,terasort,64,1
job_1588878927238_0097,terasort,80,1
job_1588878927238_0098,terasort,96,1
job_1588878927238_0099,terasort,112,1
job_1588878927238_0100,terasort,128,1
job_1588878927238_0101,terasort,144,1
job_1588878927238_0102,terasort,160,1
job_1588878927238_0103,terasort,176,1
job_1588878927238_0104,terasort,192,1
job_1588878927238_0105,terasort,208,1
job_1588878927238_0106,terasort,224,1
job_1588878927238_0107,terasort,240,1
job_1588878927238_0108,terasort,256,1
job_1588878927238_0109,terasort,0,2
job_1588878927238_0110,terasort,4,2
job_1588878927238_0111,terasort,8,2
job_1588878927238_0112,terasort,16,2
job_1588878927238_0113,terasort,24,2
job_1588878927238_0114,terasort,32,2
job_1588878927238_0115,terasort,48,2
job_1588878927238_0116,terasort,64,2
job_1588878927238_0117,terasort,80,2
job_1588878927238_0118,terasort,96,2
job_1588878927238_0119,terasort,112,2
job_1588878927238_0120,terasort,128,2
job_1588878927238_0121,terasort,144,2
job_1588878927238_0122,terasort,160,2
job_1588878927238_0123,terasort,176,2
job_1588878927238_0124,terasort,192,2
job_1588878927238_0125,terasort,208,2
job_1588878927238_0126,terasort,224,2
job_1588878927238_0127,terasort,240,2
job_1588878927238_0128,terasort,256,2
job_1588878927238_0129,terasort,0,3
job_1588878927238_0130,terasort,4,3
job_1588878927238_0131,terasort,8,3
job_1588878927238_0132,terasort,16,3
job_1588878927238_0133,terasort,24,3
job_1588878927238_0134,terasort,32,3
job_1588878927238_0135,terasort,48,3
job_1588878927238_0136,terasort,64,3
job_1588878927238_0137,terasort,80,3
job_1588878927238_0138,terasort,96,3
job_1588878927238_0139,terasort,112,3
job_1588878927238_0140,terasort,128,3
job_1588878927238_0141,terasort,144,3
job_1588878927238_0142,terasort,160,3
job_1588878927238_0143,terasort,176,3
job_1588878927238_0144,terasort,192,3
job_1588878927238_0145,terasort,208,3
job_1588878927238_0146,terasort,224,3
job_1588878927238_0147,terasort,240,3
job_1588878927238_0148,terasort,256,3
