jobid,experiment,cacheddata,rep
job_1588341712669_0125,wordcount,0,0
job_1588341712669_0126,wordcount,0,1
job_1588341712669_0127,wordcount,0,2
job_1588341712669_0128,wordcount,4,0
job_1588341712669_0129,wordcount,4,1
job_1588341712669_0130,wordcount,4,2
job_1588341712669_0131,wordcount,8,0
job_1588341712669_0132,wordcount,8,1
job_1588341712669_0133,wordcount,8,2
job_1588341712669_0134,wordcount,16,0
job_1588341712669_0135,wordcount,16,1
job_1588341712669_0136,wordcount,16,2
job_1588341712669_0137,wordcount,24,0
job_1588341712669_0138,wordcount,24,1
job_1588341712669_0139,wordcount,24,2
job_1588341712669_0140,wordcount,32,0
job_1588341712669_0141,wordcount,32,1
job_1588341712669_0142,wordcount,32,2
job_1588341712669_0143,wordcount,48,0
job_1588341712669_0144,wordcount,48,1
job_1588341712669_0145,wordcount,48,2
job_1588341712669_0146,wordcount,64,0
job_1588341712669_0147,wordcount,64,1
job_1588341712669_0148,wordcount,64,2
job_1588341712669_0149,wordcount,80,0
job_1588341712669_0150,wordcount,80,1
job_1588341712669_0151,wordcount,80,2
job_1588341712669_0152,wordcount,96,0
job_1588341712669_0153,wordcount,96,1
job_1588341712669_0154,wordcount,96,2
job_1588341712669_0155,wordcount,112,0
job_1588341712669_0156,wordcount,112,1
job_1588341712669_0157,wordcount,112,2
job_1588341712669_0158,wordcount,128,0
job_1588341712669_0159,wordcount,128,1
job_1588341712669_0160,wordcount,128,2
job_1588341712669_0161,wordcount,144,0
job_1588341712669_0162,wordcount,144,1
job_1588341712669_0163,wordcount,144,2
job_1588341712669_0164,wordcount,160,0
job_1588341712669_0165,wordcount,160,1
job_1588341712669_0166,wordcount,160,2
job_1588341712669_0167,wordcount,176,0
job_1588341712669_0168,wordcount,176,1
job_1588341712669_0169,wordcount,176,2
job_1588341712669_0170,wordcount,192,0
job_1588341712669_0171,wordcount,192,1
job_1588341712669_0172,wordcount,192,2
job_1588341712669_0173,wordcount,208,0
job_1588341712669_0174,wordcount,208,1
job_1588341712669_0175,wordcount,208,2
job_1588341712669_0176,wordcount,224,0
job_1588341712669_0177,wordcount,224,1
job_1588341712669_0178,wordcount,224,2
job_1588341712669_0179,wordcount,240,0
job_1588341712669_0180,wordcount,240,1
job_1588341712669_0181,wordcount,240,2
job_1588341712669_0182,wordcount,256,0
job_1588341712669_0183,wordcount,256,1
job_1588341712669_0184,wordcount,256,2
